case,mean_ppc,particles,comparison,median,ci95_low,ci95_high,estimate_kind
Taylor-Green,4.0,131072,L1_over_L0,0.3961531239220878,0.3918384515011109,0.3964900194790447,direct_paired
Taylor-Green,8.0,262144,L1_over_L0,0.437063194984086,0.4341068568987564,0.4375009925216172,direct_paired
Taylor-Green,16.0,524288,L1_over_L0,0.5245131703480667,0.5242424181062252,0.524580668112866,direct_paired
Taylor-Green,32.0,1048576,L1_over_L0,0.6762568160874306,0.6733877150897659,0.6771160190743242,direct_paired
Taylor-Green,64.0,2097152,L1_over_L0,0.8746467426232001,0.8741093432960849,0.8761911495179412,direct_paired
Taylor-Green,96.0,3145728,L1_over_L0,0.98502561532348,0.9663879259997444,0.999564748639488,direct_paired
Taylor-Green,192.0,6291456,L1_over_L0,1.18221102259083,1.169645777767824,1.195136240605413,direct_paired
Taylor-Green,384.0,12582912,L1_over_L0,1.3470722787583065,1.301631498184674,1.3875582080332023,direct_paired
Taylor-Green,768.0,25165824,L1_over_L0,1.3344403759374177,1.3215465624663316,1.3462007888232304,direct_paired
Taylor-Green,960.0,31457280,L1_over_L0,1.4343719752656756,1.4256206995284515,1.4477006445880598,direct_paired
